"","logFC","logCPM","F","PValue","FDR","Expression"
"PTENP1",-0.0944766741063588,1.54294041347976,0.0564115076703038,0.814709638317267,0.917942545028292,"Not DE"
"MANEAL",0.109950623015576,0.655331750398033,0.0563166544707669,0.814862436440264,0.918044880479586,"Not DE"
"FOXL2",0.0854974738090921,0.611008093793735,0.05620368155635,0.815044601352056,0.918062054396306,"Not DE"
"TXLNG",0.0446197993597592,3.62888369383603,0.0561929138033005,0.815061974096601,0.918062054396306,"Not DE"
"SLC47A1",-0.154753280133202,0.766933603373503,0.0561834720638653,0.815077208894746,0.918062054396306,"Not DE"
"NXPH3",-0.0811319492564569,1.70540119202019,0.0561535056054779,0.815125570505914,0.918062054396306,"Not DE"
"ANAPC16",0.0299892381900962,5.10564900146827,0.0560343000661875,0.815318086736107,0.918154511498616,"Not DE"
"PHYHD1",-0.104882957470354,0.547258958552456,0.0560183621930884,0.815343842730634,0.918154511498616,"Not DE"
"GOLGA1",-0.0293285879299146,4.87170158224975,0.0559792425694116,0.815407077453419,0.918154511498616,"Not DE"
"FOXK1",0.0503193083344138,5.84482914455012,0.0559492489519656,0.81545557633234,0.918154511498616,"Not DE"
"ZCCHC7",0.0457873169727579,4.18471510426729,0.0558349442108632,0.815640530317282,0.918195178818726,"Not DE"
"TPT1P6",-0.117886977381081,2.52808542273584,0.0558098924542405,0.815681092779134,0.918195178818726,"Not DE"
"ZNF829",0.0532844659298211,2.04476377137561,0.0558096222137194,0.815681530390633,0.918195178818726,"Not DE"
"SAV1",0.0285913315280022,4.14678891423998,0.0557737552404232,0.815739621198411,0.918195178818726,"Not DE"
"BCL7A",0.0487668676228281,3.58716163297288,0.0557019774230501,0.815855933267285,0.918256328477553,"Not DE"
"UBL5P2",0.12106251061886,2.14548406051143,0.055550908648955,0.81610099144128,0.918462363231112,"Not DE"
"ASB16-AS1",-0.0577097062725717,2.60554497779097,0.0554988864047351,0.816185461606832,0.918470012334159,"Not DE"
"SYNC",0.046634337615867,6.99136722306967,0.0553686781114415,0.81639706875334,0.918470012334159,"Not DE"
"RGS2",0.0816992549756451,1.53259682155035,0.0553667727941766,0.8164001671203,0.918470012334159,"Not DE"
"TXNP4",0.0829639178513809,1.33830815824266,0.0553623291458464,0.816407393460516,0.918470012334159,"Not DE"
"GTF2IRD2B",0.0741566448130557,1.16106100811606,0.0553559371714621,0.816417788741474,0.918470012334159,"Not DE"
"GJC2",0.112874623748568,0.184109015291865,0.0551252649206028,0.816793357290354,0.918822750011338,"Not DE"
"ZRANB2",-0.0480166301384617,5.9451858039056,0.0550252586926936,0.816956440496178,0.918936424412329,"Not DE"
"PDLIM1P1",-0.138564253357641,0.902582564143732,0.0547436841894905,0.817416456346092,0.919268290539685,"Not DE"
"THY1",0.130649255963144,7.15820189197727,0.0547360622636255,0.817428925861239,0.919268290539685,"Not DE"
"RAP1A",0.0373183413961058,5.14794696910183,0.0546962137789224,0.817494133164715,0.919268290539685,"Not DE"
"RPS23P1",0.153894115928383,0.0545795084323448,0.0546697629988144,0.817537430587965,0.919268290539685,"Not DE"
"ECSCR",-0.11484633194959,0.176044726457354,0.0546549105311862,0.817561747526687,0.919268290539685,"Not DE"
"FLVCR2",-0.152059467369634,0.508961543155389,0.0545236185574429,0.817776855072065,0.919440371208073,"Not DE"
"AGER",0.116529325825342,0.19048053388093,0.0542924453456395,0.818156273565805,0.919754031953254,"Not DE"
"ZNF518A",-0.0577040609971427,3.16846072045561,0.0542649606106459,0.81820144027977,0.919754031953254,"Not DE"
"PYURF",0.0310846155637322,4.67085465073213,0.0542402281290684,0.81824209444525,0.919754031953254,"Not DE"
"RPL36AP43",0.131536965029258,-0.135837476700794,0.0539605305729219,0.818702532420927,0.920201768989653,"Not DE"
"RPL10P12",-0.061752610567489,2.51968470657118,0.0539185126895743,0.818771811080621,0.920209817870292,"Not DE"
"OGA",0.0417907816950794,6.64726362454931,0.0538653592376655,0.818859490822987,0.920238544761927,"Not DE"
"PCDHAC2",-0.113423049648502,0.398308735726992,0.0537815553898141,0.818997823075761,0.920324186531467,"Not DE"
"TNNC1",-0.163869438139141,-0.222296460233845,0.0535534157367252,0.819374983527885,0.920555784823867,"Not DE"
"TMSB10P1",0.0769461824713657,4.07343623094761,0.0535398540270645,0.819397430439163,0.920555784823867,"Not DE"
"CYB5R1",0.0432094737099706,7.01057944448689,0.0535242014069455,0.819423341891819,0.920555784823867,"Not DE"
"ING2",-0.0444477931212111,2.76864726821406,0.0535065986083314,0.819452486463638,0.920555784823867,"Not DE"
"ANKEF1",-0.0904660480482455,0.877952954000716,0.0533843112755386,0.819655094850032,0.920651570672639,"Not DE"
"AC092809",-0.124530315124835,0.716845425928829,0.0533801177678852,0.819662047090687,0.920651570672639,"Not DE"
"BZW2",0.0322622149247461,5.69897358663087,0.0532642221480186,0.819854299811322,0.920741361090062,"Not DE"
"DNAH1",-0.0416713513290216,3.35012153386574,0.0532269071090869,0.819916246619042,0.920741361090062,"Not DE"
"TOX4P1",0.092214745715761,0.5702645017909,0.0532195586853166,0.819928448460922,0.920741361090062,"Not DE"
"PCDHGA7",-0.0779872368532549,2.29988329186462,0.0531024092624408,0.82012309187132,0.920831218507902,"Not DE"
"SDHB",0.0342180794336637,6.18018051239074,0.0530965780390112,0.820132786350294,0.920831218507902,"Not DE"
"SEM1P1",-0.115304772991214,0.464092118548571,0.0530392443449741,0.820228134245613,0.920868479023456,"Not DE"
"ALG5",-0.0385273441158213,4.51658960170545,0.0529749275330215,0.82033516006771,0.920871345578484,"Not DE"
"PODNL1",0.0989859222844348,3.47030657828202,0.0529549266770715,0.820368456292493,0.920871345578484,"Not DE"
"PTPN3",-0.0990315160566193,2.36238331185422,0.0529256692711842,0.820417174223359,0.920871345578484,"Not DE"
"CENPC",0.0472648490449778,2.94536932807039,0.0528810131765875,0.82049156066977,0.920885065517234,"Not DE"
"AL031777",-0.103345368932503,-0.311791908068309,0.0527480924857018,0.82071317135306,0.921064009123048,"Not DE"
"GALNT12",0.0822069633042994,3.06968473221034,0.0525945305888135,0.820969563035836,0.921281956428518,"Not DE"
"CRK",-0.0208084308382254,6.66200371394601,0.0522924946777166,0.821475006295666,0.92177634729549,"Not DE"
"TIMM23B",-0.0756722478836644,0.807633973979177,0.0522569621040848,0.821534569551934,0.92177634729549,"Not DE"
"YWHAZP6",0.108220147327665,0.292030186831629,0.0521579974946478,0.821700576611533,0.921892785665196,"Not DE"
"SGMS1-AS1",0.0773944619602883,1.18516739855837,0.0521184179841667,0.82176701530705,0.921897505850711,"Not DE"
"ACTG1P1",0.117347826965109,0.804313550464152,0.0520161483183295,0.821938809821007,0.922020409562956,"Not DE"
"KIFAP3",-0.0393893537705108,4.57254669284847,0.0518730795124294,0.822179438601566,0.922220504538774,"Not DE"
"DHRS12",0.0686760963374147,1.48805606365277,0.0518303868286559,0.822251311595349,0.922231293910774,"Not DE"
"NAAA",-0.0370673766895692,3.78815078048266,0.05163281277511,0.822584333964467,0.922534962779136,"Not DE"
"PDCD7",-0.0381941550960834,3.98294698627249,0.0515288865812002,0.822759777101132,0.922661872670414,"Not DE"
"LONP2",-0.0225628046007366,6.37695301912911,0.0514729755578851,0.822854240518603,0.922690969970026,"Not DE"
"AHSA2P",0.0526650005405147,4.57628276712437,0.0514398137381876,0.822910293995139,0.922690969970026,"Not DE"
"FAM177A1",0.0377041958714309,5.93963819730664,0.0512577658623426,0.823218349549741,0.922966520111243,"Not DE"
"STARD7-AS1",-0.0483857077834598,2.4582854396111,0.0511722937719959,0.823363181522418,0.923059041249667,"Not DE"
"SHPK",0.061499262109683,1.16559529197325,0.0510674620437349,0.823540992410246,0.923169120572198,"Not DE"
"PHBP21",-0.129696034764501,0.346666323562474,0.0510409412212385,0.823586006310393,0.923169120572198,"Not DE"
"LINC02154",-0.1069723921669,3.80370160841593,0.0509824095044066,0.823685396051781,0.923210672400022,"Not DE"
"RPL7AP30",-0.111932755391017,3.54356747530905,0.05086071665796,0.823892229058885,0.92337263438329,"Not DE"
"AIMP1",0.0418125877901042,5.43185492233756,0.0505521214159391,0.824417898602619,0.923630617080761,"Not DE"
"THEMIS2",-0.061670827622827,1.95534281218738,0.0505520340409869,0.824418047678405,0.923630617080761,"Not DE"
"ZNHIT3",0.0337950577236768,4.08138486097969,0.0505471770907297,0.824426334633695,0.923630617080761,"Not DE"
"RASAL2",-0.0213372906097179,5.98918521845837,0.0505437699253625,0.824432148208217,0.923630617080761,"Not DE"
"HCG18",0.0330078112761829,4.8076991056184,0.0505425907661632,0.824434160230789,0.923630617080761,"Not DE"
"AC055716",-0.119947905836199,0.629727279074931,0.0504409638349763,0.824607661207933,0.923755134084567,"Not DE"
"SEC62",-0.0455292147523989,6.74525922435685,0.0503807693914761,0.824710514013055,0.923800495621126,"Not DE"
"AC009053",-0.0673040022314183,1.68127614779136,0.0502756281766961,0.824890321582222,0.923932044754199,"Not DE"
"SNRPG",0.0475839708234816,5.08392723705074,0.0500584699235519,0.825262323013307,0.924269057240224,"Not DE"
"ELOVL6",0.05163778167874,4.85239618324324,0.050027181777121,0.825315990898723,0.924269057240224,"Not DE"
"MMUT",-0.0346011784130642,4.82979897943341,0.0499389616089667,0.825467408237321,0.924362116004241,"Not DE"
"AC004706",0.0981097331527835,0.945806795779803,0.0498249739835362,0.825663260302233,0.924362116004241,"Not DE"
"ESYT3",-0.0842583801223977,0.969396335816534,0.0497217897130841,0.825840753559307,0.924362116004241,"Not DE"
"CTSH",0.0602748377538002,4.05577878540162,0.0497145192934241,0.825853267134987,0.924362116004241,"Not DE"
"OSTF1",-0.0343155967732514,4.68914674708729,0.0497121142622569,0.825857406797003,0.924362116004241,"Not DE"
"ZNF816",-0.0618036933213226,1.63382904058919,0.049698786680444,0.825880348818723,0.924362116004241,"Not DE"
"CALM1P1",0.106534791574685,1.03361313744712,0.0496697047638467,0.82593042149916,0.924362116004241,"Not DE"
"STAG3L5P",-0.0988035832277893,0.674305824620946,0.0496421441405166,0.825977889081327,0.924362116004241,"Not DE"
"FANCD2",-0.0641506296499065,1.64699226639758,0.0495440906635805,0.826146878786872,0.924362116004241,"Not DE"
"AC026403",-0.121293734255999,4.60605431254427,0.0495130414073763,0.826200427115569,0.924362116004241,"Not DE"
"RPL41P5",0.0956727033652255,3.80409258309213,0.049496427781172,0.826229086646835,0.924362116004241,"Not DE"
"SLC22A31",0.146920814620611,-0.263551087920855,0.0494264377306823,0.826349879393989,0.924362116004241,"Not DE"
"AC159540",-0.105277871549155,0.679981373066531,0.049372470687216,0.826443080173094,0.924362116004241,"Not DE"
"DTNA",0.0452963003208833,3.36176489233807,0.0493277596816457,0.826520336413094,0.924362116004241,"Not DE"
"CFAP69",0.0738727355204117,1.01939629718031,0.0493259514824408,0.82652346157884,0.924362116004241,"Not DE"
"DSN1",0.0443897021215298,2.66559502295081,0.0493151197216966,0.826542183702221,0.924362116004241,"Not DE"
"DPH6",0.0569738670167992,1.82288402663793,0.0493094711117038,0.826551947882558,0.924362116004241,"Not DE"
"RPS18P9",0.0615111712887177,2.44544021419479,0.0492897633674514,0.826586019271861,0.924362116004241,"Not DE"
"BTBD19",-0.0634215355796664,4.09687902373603,0.0492500940683372,0.82665462257435,0.924362116004241,"Not DE"
"PCSK6",-0.125006644392803,1.34127851773835,0.0491855581978152,0.826766291745837,0.924362116004241,"Not DE"
"HCFC2",-0.0411560095851817,3.73085973295869,0.0491632158714877,0.826804969577007,0.924362116004241,"Not DE"
"CUBN",-0.0886997729197953,0.599425071467405,0.0491391850169077,0.826846580814181,0.924362116004241,"Not DE"
"MTND4P35",-0.0960308818699125,1.58578637751064,0.049110518546738,0.826896232965328,0.924362116004241,"Not DE"
"TAF9B",0.0435432148488259,3.36498498388435,0.049110286064341,0.826896635701917,0.924362116004241,"Not DE"
"USP7",-0.0300063442397095,6.30065148489529,0.0490735256890411,0.826960329473636,0.924363564538025,"Not DE"
"DNMT1",0.0396128691759303,5.94526252503296,0.0489429093424632,0.827186848243207,0.924510480262662,"Not DE"
"SUSD2",-0.160878769150751,0.175212586698293,0.0489257788679833,0.827216579983906,0.924510480262662,"Not DE"
"ANKRD13B",0.0636834622479475,2.6372839379844,0.0488873187168634,0.827283351562055,0.924515356822592,"Not DE"
"IPO8P1",-0.114419782118391,0.529018397056255,0.0488487928922195,0.827350264844787,0.924520390994243,"Not DE"
"POC1B-AS1",-0.0885373306018492,0.175375225745388,0.0487943352272523,0.827444896554174,0.924556395953653,"Not DE"
"RGS13",0.0892209620383219,1.81717754646861,0.0487444381696226,0.827531651985915,0.924577686702321,"Not DE"
"AC068888",0.0655324655123209,0.844879863727839,0.0486638693096937,0.827671834703083,0.924577686702321,"Not DE"
"PCGF1",-0.0379073137550709,3.01328317179402,0.0486480406317588,0.827699389539121,0.924577686702321,"Not DE"
"SEMA3F",-0.0571755331082089,4.37091088549418,0.0486398781792621,0.827713600718656,0.924577686702321,"Not DE"
"RANBP20P",-0.131735363567447,1.07612948699718,0.0484496326337158,0.828045182033859,0.924866709567017,"Not DE"
"GSTO3P",-0.148594514894956,1.01137250434579,0.048419818307801,0.828097207755968,0.924866709567017,"Not DE"
